BarrierID,Status,LastUpdate,Type,BarrierCk,CheckType,BarrierCk2,CheckType2,Descrip,Redev,long,lat
336,closed,09/21/18,complete,08/17,google maps,NA,NA,"1400-block of East 14th St, mid-block",FALSE,-90.19544568165713,38.64044157375668
337,closed,09/21/18,complete,07/17,google maps,NA,NA,Extension of the 1300-block of O’Fallon St at North Tuker Blvd,FALSE,-90.19478049382182,38.63865093950832
338,closed,09/21/18,complete,07/17,google maps,NA,NA,1100-block of O’Fallon St at North Tucker Blvd,FALSE,-90.19416967453601,38.63852484017426
339,closed,09/21/18,complete,09/14,google maps,NA,NA,600-block of Biddle St at North 7th St,FALSE,-90.18843053774799,38.636071899539694
340,closed,09/21/18,complete,08/17,google maps,NA,NA,500-block of Carr St at North Broadway,FALSE,-90.18677126844172,38.63457731583501
341,closed,09/21/18,complete,08/12,google maps,NA,NA,10-block of Dickson St at North 1st St,FALSE,-90.18296126059062,38.637942849962464
342,closed,09/21/18,complete,08/12,google maps,NA,NA,6-block of Ashley St at North 1st St,FALSE,-90.18280637294741,38.636311030854614
343,closed,09/21/18,complete,08/12,google maps,NA,NA,1-block of Florida St at North 1st St,FALSE,-90.18326512878082,38.64050729955666
344,closed,09/21/18,complete,08/12,google maps,NA,NA,6-block of Madison St at North 1st St,FALSE,-90.18582306339607,38.6486217470208
345,closed,09/21/18,complete,07/16,google maps,NA,NA,3800-block of Labadie Ave at Vandeventer Blvd,FALSE,-90.22601543752357,38.65906801864661
346,closed,09/21/18,complete,07/17,google maps,NA,NA,5800-block of Plymouth Ave at Goodfellow Blvd,FALSE,-90.28539010290895,38.66413821967334
347,closed,09/21/18,complete,07/16,google maps,NA,NA,"1200-block of South 11th St, mid-block",FALSE,-90.20213187420445,38.616118145634495
348,closed,09/21/18,complete,08/17,google maps,1971 and 1988,historic aerials,1318-block of South 10th St at Park Ave,TRUE,-90.2012765785909,38.61394911305235
349,closed,09/21/18,complete,06/11,google maps,1971 and 1988,historic aerials,900-block of Rutger St at South 10th St,TRUE,-90.20093837208734,38.61462855723782
